"diet","weight_loss"
"Keto",4.86191180931364
"Keto",3.62492844368032
"Keto",6.15422077897519
"Keto",5.52408459321867
"Keto",4.86723229342166
"Keto",4.52077151347589
"Keto",2.94561009061535
"Keto",3.67985062728671
"Keto",4.03870037872692
"Keto",3.85478876612981
"Keto",6.79055645448223
"Keto",5.36077286898618
"Keto",6.32649933489652
"Keto",5.40704572154666
"Keto",6.34918053610343
"Keto",3.56477650560717
"Keto",5.28200215946779
"Keto",5.32078917709606
"Keto",6.28161370481283
"Keto",2.71077147306102
"Keto",3.72572403576519
"Keto",5.97165318245583
"Keto",4.76828450302108
"Keto",5.5528427027492
"Keto",3.84967781423764
"Keto",5.97071878031279
"Keto",3.87191490391177
"Keto",4.13819152995691
"Keto",3.33508582756999
"Keto",5.04798521368746
"Mediterranean",6.72093057139899
"Mediterranean",4.76140371094847
"Mediterranean",4.29729739370078
"Mediterranean",5.28858463259825
"Mediterranean",3.82850668385007
"Mediterranean",1.77488931078153
"Mediterranean",3.69241978179406
"Mediterranean",4.67515457226846
"Mediterranean",4.66958608972906
"Mediterranean",2.5572380393121
"Mediterranean",3.56579960136013
"Mediterranean",4.10934795256153
"Mediterranean",2.68967538457846
"Mediterranean",2.87726327537542
"Mediterranean",4.43073195163901
"Mediterranean",4.40412672930002
"Mediterranean",1.84403457561044
"Mediterranean",4.11560923254654
"Mediterranean",4.7404931255134
"Mediterranean",4.06180097474756
"Mediterranean",3.97166943801338
"Mediterranean",3.39051970345069
"Mediterranean",6.01885275973785
"Mediterranean",4.50270392190011
"Mediterranean",4.0265090814289
"Mediterranean",4.41087371262257
"Mediterranean",4.72446469224366
"Mediterranean",2.69286251342044
"Mediterranean",4.57890568910908
"Mediterranean",3.47794891953717
"Vegan",2.59969523779546
"Vegan",5.31444020426125
"Vegan",5.15468928700428
"Vegan",5.23497687244644
"Vegan",3.77585254830105
"Vegan",2.30895503009609
"Vegan",1.96936662354039
"Vegan",3.43297265206099
"Vegan",3.25689897898624
"Vegan",5.0956625698964
"Vegan",3.66182848765595
"Vegan",3.70977720046706
"Vegan",5.03461143078754
"Vegan",3.25850735042766
"Vegan",5.06620052752001
"Vegan",3.88097885936636
"Vegan",4.4999486685587
"Vegan",1.11572977026055
"Vegan",4.36736114804865
"Vegan",3.59170530466115
"Vegan",2.96420045109415
"Vegan",5.08088811972993
"Vegan",2.20285467322805
"Vegan",3.91079206950934
"Vegan",2.2346780169546
"Vegan",3.31009791388002
"Vegan",5.57274315240777
"Vegan",3.4712524215618
"Vegan",5.10843697142991
"Vegan",4.36829388751409
