"membership","time"
"Premium",101.53555424217
"Premium",165.407705493733
"Premium",171.228426608686
"Premium",100.060996606016
"Premium",121.983402086358
"Premium",134.668015792577
"Premium",167.645897356835
"Premium",153.342806793051
"Premium",177.938948803595
"Premium",163.830127243089
"Premium",115.436158137139
"Premium",187.810667073025
"Premium",177.33360522014
"Premium",198.95268228966
"Premium",98.3738299163165
"Premium",208.489084111627
"Premium",201.650425748365
"Premium",157.793208081285
"Premium",219.301104092826
"Premium",195.181207640715
"Premium",129.775376237396
"Premium",89.3874639405279
"Premium",98.8280149386361
"Premium",151.9676673933
"Premium",144.035324204257
"Standard",135.082837598326
"Standard",107.931465520018
"Standard",110.217471480956
"Standard",141.037171086058
"Standard",97.280575634418
"Standard",106.810498375835
"Standard",105.705521492928
"Standard",81.8184339280174
"Standard",120.834603165065
"Standard",118.700629285449
"Standard",146.666089426534
"Standard",104.569747221343
"Standard",113.415716997515
"Standard",108.59235517834
"Standard",115.141491826309
"Standard",115.307987358819
"Standard",122.48163540326
"Standard",111.55656334596
"Standard",117.218653633518
"Standard",151.140868430406
"Standard",117.854480650225
"Standard",117.808540487069
"Standard",128.890921703041
"Standard",95.8181591710107
"Standard",122.753655514407
"Standard",104.495835830207
"Standard",111.439079004892
"Standard",127.339296516044
"Standard",131.046358885684
"Standard",126.312059336837
"Standard",128.234713672209
"Standard",108.776032238884
"Standard",142.282823206501
"Standard",125.00887989917
"Standard",125.611557933052
